items__track,items__episode__episodeName,items__episode__showName,items__episode__episodeUri,name,lastModifiedDate,items__track__trackName,items__track__artistName,items__track__albumName,items__track__trackUri,items__episode,items__localTrack__uri,items__localTrack,items__addedDate,description,numberOfFollowers,genero,dia_da_semana
,,,,,,te procuro,Nina Fernandes,amor é fuga: fuja,spotify:track:6jd296Iqly0hU02QDJKFfi,,,,2022-09-18,,,Indie Pop,6
,,,,,,A Encomenda da Minha Vida,MAR ABERTO,A Encomenda da Minha Vida,spotify:track:4hYcZfeUkOw4GoV5APKMdV,,,,2022-09-18,,,Pop Rock,6
,,,,,,,,,,,spotify:local:Nico+%26+Vinz:Nico+%26+Vinz:Nico+%26+Vinz+-+Am+I+Wrong+%5BOfficial+Music+Video%5D:304,,2022-09-18,,,,6
,,,,,,Amor e Fé - Acústico,Hungria Hip Hop,Cheiro do Mato,spotify:track:4XcWXKMKp53c8OU3HHlxgL,,,,2022-09-18,,,Hip Hop,6
,,,,,,Velha Infância - Acústico,OUTROEU,Ensaio Acústico,spotify:track:2mGLhWWDAy7EnDz8wW3xdY,,,,2022-09-18,,,Indie,6
,,,,,,Dia Especial,TIAGO IORC,Dia Especial,spotify:track:1fRKUO6PvzxNbwjzp51TW5,,,,2022-09-18,,,MPB,6
,,,,,,Simples e Romântico,Nicolas Germano,Simples e Romântico,spotify:track:7dAbpCdKHAPNONpwGTmGzC,,,,2022-09-18,,,MPB,6
,,,,,,Hall of Fame,The Script,#3 Deluxe Version,spotify:track:0FB5ILDICqwK6xj7W1RP9u,,,,2022-09-18,,,Pop Rock,6
,,,,,,In The Stars,Benson Boone,In The Stars,spotify:track:1ei3hzQmrgealgRKFxIcWn,,,,2022-09-18,,,Pop,6
,,,,,,Seja Sol,OS FALCÕES,Chapada Diamantina,spotify:track:1W8CdTHwdAbYv4EERZbLGJ,,,,2022-09-18,,,,6
,,,,,,Era a Mão de Deus,Kailane Frauches,Era a Mão de Deus,spotify:track:6NthrrYa3aijH4HTnWwW1L,,,,2022-09-18,,,Gospel,6
,,,,,,as coisas tão mais lindas,ANAVITÓRIA,N,spotify:track:2qvSChyYgm8ybTncALA4pD,,,,2022-09-18,,,,6
,,,,,,Astronaut In The Ocean - Alok Remix,Masked Wolf,Astronaut In The Ocean,spotify:track:1yX6sh2TkrT5hsXodo7aS6,,,,2022-09-18,,,Hip Hop,6
,,,,,,Believer,Imagine Dragons,Evolve,spotify:track:0pqnGHJpmpxLKifKRmU6WP,,,,2022-09-18,,,Pop,6
,,,,,,Memories,Maroon 5,Memories,spotify:track:2b8fOow8UzyDFAE27YhOZM,,,,2022-09-18,,,Pop,6
,,,,,,Dance Monkey,Tones And I,Dance Monkey,spotify:track:1rgnBhdG2JDFTbYkYRZAku,,,,2022-09-18,,,Indie Pop,6
,,,,,,Here's Your Perfect - Acoustic,Jamie Miller,Here's Your Perfect,spotify:track:5bTxvPSxViGxFfcawiCH0U,,,,2022-09-18,,,Pop,6
,,,,,,Aonde Quer Que Eu Vá,Os Paralamas Do Sucesso,Arquivo II 1991 - 2000,spotify:track:0NFVg74sSsdU1gNc9xfpIO,,,,2022-09-18,,,Rock,6
,,,,,,FRIENDS,Marshmello,FRIENDS,spotify:track:08bNPGLD8AhKpnnERrAc6G,,,,2022-09-18,,,Eletronica,6
,,,,,,Alone,Marshmello,Alone,spotify:track:3MEYFivt6bilQ9q9mFWZ4g,,,,2022-09-18,,,Eletronica,6
,,,,,,Ocean Eyes - GOLDHOUSE Remix,Billie Eilish,Ocean Eyes,spotify:track:1JbuC7uZm0P1PyX7N7gDEM,,,,2022-09-18,,,Pop,6
,,,,,,Happier,Marshmello,Happier,spotify:track:2dpaYNEQHiRxtZbfNsse99,,,,2022-09-18,,,Eletronica,6
,,,,,,Perfect,Ed Sheeran,÷,spotify:track:0tgVpDi06FyKpA1z0VMD4v,,,,2022-09-18,,,Pop,6
,,,,,,All of Me,John Legend,Love In The Future (Expanded Edition),spotify:track:3U4isOIWM3VvDubwSI3y7a,,,,2022-09-18,,,R&B,6
,,,,,,A Thousand Years,Christina Perri,A Thousand Years,spotify:track:6lanRgr6wXibZr8KgzXxBl,,,,2022-09-18,,,Pop,6
,,,,,,Lay Me Down,Sam Smith,In The Lonely Hour,spotify:track:74sb4Gib0cL3TQeCjYF8vh,,,,2022-09-18,,,Pop,6
,,,,,,Be Alright,Dean Lewis,Be Alright,spotify:track:3EPXxR3ImUwfayaurPi3cm,,,,2022-09-18,,,Pop,6
,,,,,,Love Yourself,Justin Bieber,Purpose,spotify:track:50kpGaPAhYJ3sGmk6vplg0,,,,2022-09-18,,,Pop,6
,,,,,,Infinity,Jaymes Young,Feel Something,spotify:track:1SOClUWhOi8vHZYMz3GluK,,,,2022-09-18,,,Indie,6
,,,,,,Please Keep Loving Me,James TW,Please Keep Loving Me,spotify:track:78zUxUPvONPgMIt46q5be6,,,,2022-09-18,,,Pop,6
,,,,,,Something Just Like This,The Chainsmokers,Memories...Do Not Open,spotify:track:6RUKPb4LETWmmr3iAEQktW,,,,2022-09-18,,,Eletronica,6
,,,,,,Imagination,Shawn Mendes,Handwritten,spotify:track:21TcDbGosp7w9YhTjOszgA,,,,2022-09-18,,,Pop,6
,,,,,,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,spotify:track:47Slg6LuqLaX0VodpSCvPt,,,,2022-09-18,,,Pop,6
,,,,,,Deus é Perfeito,MC Joãozinho VT,Deus é Perfeito,spotify:track:1XSizleVSyq7aT3ntXCcvO,,,,2022-09-18,,,,6
,,,,,,Planos de Deus,MC Marks,Planos de Deus,spotify:track:031aulAWRSDZ41EknWQrXb,,,,2022-09-18,,,Funk,6
,,,,,,Muita Fé,Mc Lipi,Muita Fé,spotify:track:0PygjXE4X5Q37fP96IUVh5,,,,2022-09-18,,,Funk,6
,,,,,,Tudo É Fase,Mc Lele JP,Tudo É Fase,spotify:track:0wxG8UbGsvK7ks3jPC0p6D,,,,2022-09-18,,,Funk,6
,,,,,,Dias de Luta,MC Paulin da Capital,Dias de Luta,spotify:track:0F6M9v01qES3KJv6B1TUQ7,,,,2022-09-18,,,Funk,6
,,,,,,Deus é por nós,MC Marks,Deus é por nós,spotify:track:6jcGoHrqfRW6fI2I6xtwBQ,,,,2022-09-18,,,Funk,6
,,,,,,Oceans (Where Feet May Fail),Hillsong UNITED,Zion,spotify:track:5SDcksP8En1l6RtTY1wzHc,,,,2022-09-19,,,Gospel,0
,Os mitos e os símbolos da Independência,Café da Manhã,spotify:episode:0wCnYKENcrOHaZ9Ho8bhrD,My playlist #5,2022-09-07,,,,,,,,2022-09-07,,0.0,,2
,,,,...,2022-08-31,A Vida É Boa Com Você - Voz E Violão,Bryan Behr,Simples,spotify:track:7w36CnYumoRl1ryZOWsJnk,,,,2022-08-26,,0.0,MPB,4
,,,,,,Trem-Bala,Ana Vilela,Trem-Bala,spotify:track:05QeyKGAn4TZrv41tMiD1A,,,,2022-08-26,,,MPB,4
