"items__track","items__episode__episodeName","items__episode__showName","items__episode__episodeUri","name","lastModifiedDate","items__track__trackName","items__track__artistName","items__track__albumName","items__track__trackUri","items__episode","items__localTrack__uri","items__localTrack","items__addedDate","description","numberOfFollowers"
"","","","","","","Politik","Coldplay","A Rush of Blood to the Head","spotify:track:0u35Dpz37TY2M2j20RUdMf","null","","null","2022-09-18","",""
"","","","","","","Old Friends","Coldplay","Everyday Life","spotify:track:3E3zYgQul8EaJioNvD2tv9","null","","null","2022-09-18","",""
"","","","","","","Pintor do Mundo","Quebrando Correntes","Louvores de Adoraçao: Músicas Evangélicas para Orar e Músicas Gospel Mais Tocadas","spotify:track:36udls6gQ8ACRFo962hysW","null","","null","2022-09-18","",""
"","","","","","","Grandes Coisas","Quebrando Correntes","Louvores de Adoraçao: Músicas Evangélicas para Orar e Músicas Gospel Mais Tocadas","spotify:track:45a5qkf7nRgcpf4KUmudU1","null","","null","2022-09-18","",""
"","","","","","","Que Se Abram Os Céus","Quebrando Correntes","Louvores de Adoraçao: Músicas Evangélicas para Orar e Músicas Gospel Mais Tocadas","spotify:track:7h7VWdp4VQaJlnhiJjO6x4","null","","null","2022-09-18","",""
"","","","","","","Eu Me Rendo","Quebrando Correntes","Louvores de Adoraçao: Músicas Evangélicas para Orar e Músicas Gospel Mais Tocadas","spotify:track:0g7VLrpcVSVuVBZ1A5YIYV","null","","null","2022-09-18","",""
"","","","","","","Acende um Fogo","Quebrando Correntes","Louvores de Adoraçao: Músicas Evangélicas para Orar e Músicas Gospel Mais Tocadas","spotify:track:1G7yB6qMrh2WMR27JoerTl","null","","null","2022-09-18","",""
"","","","","","","Partilhar","Rubel","Partilhar","spotify:track:1PQRwFvNM7xV65bIkHmDtx","null","","null","2022-09-18","",""
"","","","","","","A Vida É Boa Com Você - Voz E Violão","Bryan Behr","Simples","spotify:track:7w36CnYumoRl1ryZOWsJnk","null","","null","2022-09-18","",""
"","","","","","","Da Cor Do Girassol - Voz E Violão","Bryan Behr","Simples","spotify:track:7cr32pPRfoWbeti4qGHxA7","null","","null","2022-09-18","",""
"","","","","","","Sign of the Times","Harry Styles","Harry Styles","spotify:track:5Ohxk2dO5COHF1krpoPigN","null","","null","2022-09-18","",""
"","","","","","","te procuro","Nina Fernandes","amor é fuga: fuja","spotify:track:6jd296Iqly0hU02QDJKFfi","null","","null","2022-09-18","",""
"","","","","","","A Encomenda da Minha Vida","MAR ABERTO","A Encomenda da Minha Vida","spotify:track:4hYcZfeUkOw4GoV5APKMdV","null","","null","2022-09-18","",""
"null","","","","","","","","","","null","spotify:local:Nico+%26+Vinz:Nico+%26+Vinz:Nico+%26+Vinz+-+Am+I+Wrong+%5BOfficial+Music+Video%5D:304","","2022-09-18","",""
"","","","","","","Amor e Fé - Acústico","Hungria Hip Hop","Cheiro do Mato","spotify:track:4XcWXKMKp53c8OU3HHlxgL","null","","null","2022-09-18","",""
